ID	Length	E-value	% Identity
sp|P02092.1|	146	7.21e-27	66.18%
sp|P18987.1|	146	8.12e-27	64.71%
sp|P02140.1|	147	9.10e-27	60.29%
sp|P18993.2|	146	1.15e-26	63.24%
sp|P22743.1|	146	1.42e-26	61.76%
sp|O13164.2|	148	1.65e-26	60.87%
sp|Q91473.3|	148	2.58e-26	60.87%
sp|Q98TS0.3|	148	2.75e-26	60.87%
sp|P82316.1|	146	2.94e-26	55.88%
sp|P02141.3|	148	3.86e-26	60.87%
sp|Q10733.1|	146	1.21e-25	55.22%
sp|P10786.1|	145	2.86e-25	57.35%
sp|P83114.1|	145	3.79e-25	58.82%
sp|Q9PVM1.3|	148	3.80e-25	57.97%
sp|Q9PVM2.2|	148	1.22e-24	56.52%
sp|P14521.1|	147	1.23e-24	57.35%
sp|P80727.1|	146	1.36e-24	58.82%
sp|O13163.2|	148	2.19e-24	57.97%
sp|Q7LZC2.1|	146	3.08e-24	58.82%
sp|Q6Y239.3|	148	3.46e-24	56.52%
sp|P18991.1|	146	4.00e-24	67.80%
sp|P02129.1|	146	7.44e-24	57.58%
sp|P84206.1|	147	9.60e-24	55.88%
sp|P86919.1|	146	1.90e-23	56.06%
sp|P56251.1|	147	1.21e-22	55.88%
sp|B3EWR8.1|	146	4.70e-22	55.88%
sp|P23741.1|	146	6.24e-22	52.94%
sp|P02134.1|	140	8.75e-22	62.07%
sp|P11749.1|	146	1.87e-21	52.31%
sp|P83272.1|	146	1.93e-21	50.77%
sp|P83478.1|	146	2.00e-21	51.47%
sp|Q1AGS7.3|	147	2.57e-21	55.38%
sp|P84610.2|	147	2.83e-21	56.92%
sp|P10785.1|	145	2.91e-21	53.03%
sp|P07433.2|	146	6.60e-21	53.03%
sp|P02138.1|	147	7.87e-21	51.47%
sp|P84204.1|	146	1.54e-20	55.88%
sp|P81041.1|	54	2.34e-20	57.41%
sp|P07432.2|	146	2.68e-20	53.03%
sp|P83624.1|	146	3.40e-20	50.77%
sp|P07429.2|	147	5.38e-20	47.83%
sp|P02132.2|	146	6.18e-20	51.52%
sp|P02131.1|	146	6.96e-20	48.48%
sp|C0HJE1.1|	146	8.75e-20	48.48%
sp|K7N5M6.1|	146	1.12e-19	49.23%
sp|P86879.1|	146	1.43e-19	49.23%
sp|P80946.1|	147	1.74e-19	48.53%
sp|P02135.1|	140	1.99e-19	58.33%
sp|C0HJT6.1|	146	3.25e-19	47.06%
sp|P29625.2|	147	5.85e-19	47.83%
sp|Q1AGS6.3|	147	5.85e-19	42.03%
sp|Q1AGS3.1|	132	1.08e-18	64.00%
sp|P84611.2|	147	1.95e-18	42.03%
sp|Q7LZC1.1|	147	2.15e-18	48.53%
sp|P0C239.1|	146	2.27e-18	44.12%
sp|P80044.2|	147	2.45e-18	46.38%
sp|O93351.3|	147	2.70e-18	46.38%
sp|P0C240.1|	146	5.51e-18	44.62%
sp|P02130.1|	146	6.14e-18	43.94%
sp|O93349.3|	147	6.35e-18	44.93%
sp|P85082.1|	147	8.42e-18	44.93%
sp|P83612.1|	146	1.38e-17	46.15%
sp|P45720.1|	146	1.59e-17	46.15%
sp|O13078.2|	147	2.49e-17	39.13%
sp|P16309.1|	146	3.15e-17	44.12%
sp|O93348.3|	147	3.63e-17	43.48%
sp|O09232.2|	147	3.79e-17	39.13%
sp|P84604.2|	147	4.46e-17	40.58%
sp|P29628.1|	146	4.60e-17	44.62%
sp|O13077.2|	147	5.13e-17	39.13%
sp|P86887.1|	146	1.58e-16	44.62%
sp|P23017.2|	147	3.37e-16	43.48%
sp|P84652.2|	147	3.92e-16	46.38%
sp|P83273.1|	146	4.23e-16	45.59%
sp|P83625.1|	146	5.08e-15	42.65%
sp|P80043.1|	142	2.50e-13	44.12%
sp|P83271.2|	143	3.80e-13	47.06%
sp|P82345.1|	146	4.13e-13	43.08%
sp|P45718.1|	142	5.61e-13	44.12%
sp|P11748.1|	143	7.33e-13	47.06%
sp|P83614.1|	146	9.45e-13	41.54%
sp|P0C238.2|	143	1.12e-12	47.06%
sp|P10777.1|	142	1.61e-12	42.65%
sp|P14520.1|	142	2.06e-12	45.59%
sp|P45721.1|	146	2.23e-12	41.18%
sp|P83623.1|	142	2.82e-12	44.12%
sp|P45722.1|	146	2.89e-12	41.54%
sp|P29624.1|	142	3.04e-12	42.65%
sp|P82990.1|	142	3.89e-12	42.65%
sp|P83611.1|	142	8.00e-12	42.65%
sp|P23018.1|	146	8.10e-12	40.00%
sp|C0HJT8.1|	135	9.83e-12	46.77%
sp|K7N5M5.2|	142	9.92e-12	44.12%
sp|P80271.1|	146	1.00e-11	33.82%
sp|P84203.1|	143	1.04e-11	44.12%
sp|P02018.1|	142	1.17e-11	44.12%
sp|P84653.2|	143	1.47e-11	45.59%
sp|P0C237.2|	143	1.67e-11	44.12%
sp|C0HJT7.1|	146	1.87e-11	39.71%
sp|P02016.3|	143	5.28e-11	42.65%
sp|P86882.1|	142	7.00e-11	42.65%
sp|Q90487.3|	143	1.31e-10	41.18%
sp|P01979.1|	141	1.39e-10	49.25%
sp|P85081.1|	143	2.10e-10	42.65%
sp|P11251.2|	143	2.37e-10	44.12%
sp|P06638.2|	142	3.31e-10	42.65%
sp|C0HJZ5.1|	135	3.93e-10	41.18%
sp|P85313.1|	48	4.10e-10	50.00%
sp|P80726.2|	143	4.80e-10	39.71%
sp|C0HJZ4.1|	135	5.14e-10	41.18%
sp|P01977.1|	141	5.38e-10	47.76%
sp|Q9PVU6.3|	144	5.67e-10	39.44%
sp|Q862A7.3|	143	6.47e-10	43.28%
sp|P11753.1|	141	6.73e-10	43.28%
sp|P13787.2|	142	6.92e-10	41.79%
sp|C0HJZ3.1|	128	9.75e-10	41.18%
sp|P23016.1|	142	1.04e-09	38.24%
sp|P02000.1|	141	1.14e-09	39.71%
sp|P20247.1|	142	1.18e-09	50.00%
sp|P83131.2|	142	1.23e-09	44.12%
sp|P01999.2|	142	1.34e-09	39.71%
sp|P83270.2|	143	1.37e-09	42.65%
sp|P10059.1|	141	1.42e-09	42.65%
sp|P01944.1|	141	1.53e-09	43.28%
sp|P80270.1|	142	1.61e-09	39.71%
sp|Q9XSN3.3|	142	1.83e-09	47.76%
sp|P29623.1|	142	1.93e-09	38.24%
sp|P84791.1|	141	2.48e-09	43.28%
sp|P01926.2|	142	2.90e-09	46.27%
sp|P14390.1|	141	3.04e-09	44.78%
sp|D0VX09.1|	141	3.10e-09	44.78%
sp|P63107.2|	142	3.12e-09	46.27%
sp|P01998.1|	141	3.38e-09	41.18%
sp|P02017.1|	142	3.67e-09	44.12%
sp|P83132.2|	142	3.75e-09	42.65%
sp|B0M2T2.1|	141	4.05e-09	41.18%
sp|P07414.1|	141	4.28e-09	40.30%
sp|P85083.1|	143	4.29e-09	39.71%
sp|P83479.2|	143	4.62e-09	45.59%
sp|P08849.1|	141	5.02e-09	41.18%
sp|P06636.2|	142	5.33e-09	44.12%
sp|P09908.1|	141	5.83e-09	44.78%
sp|P19015.1|	141	5.96e-09	46.27%
sp|P68235.2|	142	6.12e-09	46.27%
sp|P67818.1|	141	6.77e-09	44.78%
sp|P67817.2|	142	6.81e-09	44.78%
sp|P18972.1|	141	7.22e-09	44.78%
sp|P69905.2|	142	7.26e-09	44.78%
sp|P21766.1|	141	7.37e-09	44.78%
sp|P02007.3|	142	7.42e-09	39.71%
sp|Q7M3B6.1|	141	7.78e-09	44.78%
sp|P21767.1|	141	7.94e-09	44.78%
sp|P10892.1|	141	8.29e-09	44.78%
sp|P01929.1|	141	8.47e-09	44.78%
sp|P19002.1|	141	8.56e-09	44.78%
sp|P18974.1|	141	8.84e-09	42.65%
sp|P01978.1|	141	8.93e-09	44.78%
sp|P82315.1|	142	9.58e-09	42.65%
sp|P84205.1|	142	1.00e-08	36.76%
sp|Q9TVA3.3|	142	1.10e-08	46.27%
sp|P20246.1|	142	1.22e-08	47.83%
sp|P04442.1|	141	1.24e-08	41.79%
sp|P01935.1|	141	1.27e-08	43.28%
sp|P04238.1|	141	1.33e-08	41.79%
sp|Q9PVM3.3|	144	1.36e-08	39.71%
sp|P04239.1|	141	1.37e-08	40.30%
sp|P04240.1|	141	1.38e-08	41.79%
sp|P15448.1|	141	1.46e-08	44.78%
sp|P17689.1|	141	1.46e-08	44.78%
sp|P0C0U6.1|	141	1.52e-08	45.59%
sp|P07409.1|	142	1.53e-08	42.03%
sp|P10885.1|	141	1.69e-08	44.78%
sp|P18970.2|	142	1.74e-08	44.78%
sp|P06637.2|	142	1.82e-08	38.24%
sp|P14389.1|	141	1.82e-08	43.28%
sp|Q9TS35.2|	142	1.91e-08	43.28%
sp|P08422.2|	142	1.94e-08	39.71%
sp|P01945.1|	141	2.01e-08	38.81%
sp|P80945.2|	143	2.07e-08	38.24%
sp|P01923.1|	141	2.14e-08	43.28%
sp|P02019.1|	144	2.25e-08	42.86%
sp|P13273.1|	141	2.31e-08	39.71%
sp|P01941.1|	141	2.36e-08	37.31%
sp|P01924.1|	141	2.57e-08	44.78%
sp|P21871.2|	142	2.72e-08	41.79%
sp|P01943.1|	141	2.82e-08	40.30%
sp|P23600.1|	141	2.92e-08	43.28%
sp|P18977.1|	141	3.07e-08	43.28%
sp|P23601.1|	141	3.07e-08	43.28%
sp|P04243.2|	142	3.16e-08	41.18%
sp|P20243.1|	141	3.21e-08	43.28%
sp|P04241.1|	141	3.31e-08	38.24%
sp|Q9PVM4.3|	143	3.35e-08	39.71%
sp|P14527.1|	142	3.51e-08	36.76%
sp|P01934.1|	141	3.61e-08	43.28%
sp|P01933.1|	141	3.65e-08	43.28%
sp|P63111.2|	142	3.95e-08	43.28%
sp|P07405.1|	141	3.97e-08	43.28%
